smiles,logP,qed,SAS,iupac,selfies,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds
C=CCc1ccccc1OC(C)=O,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][C][=O],176.21499999999997,2.3404,26.3,0,2,3
O=C(C)Oc1ccccc1CC=C,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[O][=C][Branch1][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C],176.21499999999997,2.3404,26.3,0,2,3
c1c(OC(C)=O)c(CC=C)ccc1,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][Branch1][Ring2][C][C][=C][=C][C][=C][Ring1][=N],176.21499999999997,2.3404,26.3,0,2,3
c1(ccccc1OC(=O)C)CC=C,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=Branch1][=C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][C][C][=C],176.21499999999997,2.3404,26.3,0,2,3
C=CCc1ccccc1OC(=O)C,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C],176.21499999999997,2.3404,26.3,0,2,3
c1cc(CC=C)c(OC(C)=O)cc1,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][C][Branch1][Ring2][C][C][=C][=C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=C][Ring1][=N],176.21499999999997,2.3404,26.3,0,2,3
C=CCc1c(OC(C)=O)cccc1,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][C][C][=C][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=C][C][=C][Ring1][#Branch2],176.21499999999997,2.3404,26.3,0,2,3
c1cc(c(cc1)CC=C)OC(C)=O,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][C][=Branch1][O][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=C][O][C][Branch1][C][C][=O],176.21499999999997,2.3404,26.3,0,2,3
c1(c(CC=C)cccc1)OC(C)=O,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=Branch1][=N][=C][Branch1][Ring2][C][C][=C][C][=C][C][=C][Ring1][=Branch2][O][C][Branch1][C][C][=O],176.21499999999997,2.3404,26.3,0,2,3
c1(ccccc1OC(C)=O)CC=C,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=Branch1][=C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][C][=O][C][C][=C],176.21499999999997,2.3404,26.3,0,2,3
O=C(Oc1ccccc1CC=C)C,2.3404,0.40161349208700003,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[O][=C][Branch1][=N][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C],176.21499999999997,2.3404,26.3,0,2,3
C[C@@H](c1nccs1)N(C)C(=O)c1cccc(NC(=O)C2CCCC2)c1,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][C@@H1][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][=C][Ring1][=C],357.47900000000016,4.105000000000003,62.3,1,4,5
c1sc([C@@H](N(C)C(=O)c2cc(NC(C3CCCC3)=O)ccc2)C)nc1,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][S][C][Branch2][Ring2][Ring2][C@@H1][Branch2][Ring1][#C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][Branch1][=N][N][C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][=O][=C][C][=C][Ring1][=C][C][=N][C][=Ring2][Ring1][=Branch2],357.47900000000016,4.105000000000003,62.3,1,4,5
C1(C(=O)Nc2cccc(c2)C(=O)N([C@@H](C)c2sccn2)C)CCCC1,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][Branch2][Ring2][Ring1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][N][C@@H1][Branch1][C][C][C][S][C][=C][N][=Ring1][Branch1][C][C][C][C][C][Ring2][Ring1][=Branch2],357.47900000000016,4.105000000000003,62.3,1,4,5
c1(cc(ccc1)NC(C1CCCC1)=O)C(=O)N([C@@H](C)c1nccs1)C,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][=Branch2][Ring1][=Branch1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N][C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][=O][C][=Branch1][C][=O][N][Branch1][N][C@@H1][Branch1][C][C][C][=N][C][=C][S][Ring1][Branch1][C],357.47900000000016,4.105000000000003,62.3,1,4,5
CN(C(=O)c1cccc(NC(=O)C2CCCC2)c1)[C@@H](C)c1sccn1,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][N][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][=C][Ring1][=C][C@@H1][Branch1][C][C][C][S][C][=C][N][=Ring1][Branch1],357.47900000000016,4.105000000000003,62.3,1,4,5
O=C(c1cccc(c1)NC(=O)C1CCCC1)N(C)[C@H](c1nccs1)C,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[O][=C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][N][Branch1][C][C][C@H1][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][C],357.47900000000016,4.105000000000003,62.3,1,4,5
C(=O)(Nc1cc(C(=O)N(C)[C@H](c2nccs2)C)ccc1)C1CCCC1,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][=Branch1][C][=O][Branch2][Ring1][S][N][C][=C][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][Branch1][C][C][C@H1][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][C][=C][C][=C][Ring1][P][C][C][C][C][C][Ring1][Branch1],357.47900000000016,4.105000000000003,62.3,1,4,5
