smiles,logP,qed,SAS,iupac,selfies,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds
C=CCc1ccccc1OC(C)=O,2.3404,0.401613492087,1.9437243653934413,(2-prop-2-enylphenyl) acetate,[C][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][C][=O],176.21499999999995,2.3404,26.3,0,2,3
C[C@@H](c1nccs1)N(C)C(=O)c1cccc(NC(=O)C2CCCC2)c1,4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide",[C][C@@H1][Branch1][Branch2][C][=N][C][=C][S][Ring1][Branch1][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=N][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][=C][Ring1][=C],357.4790000000002,4.105000000000003,62.300000000000004,1,4,5
CC[C@H](COC)NC(=O)c1cc2c(C)nn(-c3ccccc3)c2s1,3.5502199999999995,0.726807540167,2.7375010332804184,"N-[(2R)-1-methoxybutan-2-yl]-3-methyl-1-phenylthieno[3,2-d]pyrazole-5-carboxamide",[C][C][C@H1][Branch1][Ring2][C][O][C][N][C][=Branch1][C][=O][C][=C][C][C][Branch1][C][C][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][N][S][Ring1][#C],343.45200000000006,3.550220000000002,56.15,1,5,6
Cc1cc(NC(=O)N2CCC[C@@H]2Cc2ccccc2Cl)no1,3.87542,0.903595259914,2.6770703841500723,"(2R)-2-[(2-chlorophenyl)methyl]-N-(5-methyl-1,2-oxazol-3-yl)pyrrolidine-1-carboxamide",[C][C][=C][C][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][N][C][C][C][C@@H1][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][=N][O][Ring2][Ring1][Branch1],319.79200000000003,3.8754200000000028,58.370000000000005,1,3,3
Cc1cc(CN(C)c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])no1,1.54852,0.5377505909120001,2.5193973464534056,"N-methyl-N-[(5-methyl-1,2-oxazol-3-yl)methyl]-4-morpholin-4-ylsulfonyl-2-nitroaniline",[C][C][=C][C][Branch2][Ring2][Ring2][C][N][Branch1][C][C][C][=C][C][=C][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][#C][N+1][=Branch1][C][=O][O-1][=N][O][Ring2][Ring1][#Branch2],396.4250000000002,1.54852,119.02000000000001,0,8,6
CCNS(=O)(=O)c1ccc(Cl)c(N)c1,1.2204,0.782181756368,1.983397841409392,3-amino-4-chloro-N-ethylbenzenesulfonamide,[C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][N][=C][Ring1][Branch2],234.708,1.2204,72.19,2,3,3
CN(C)C(=O)N(Cc1ccc(OS(=O)(=O)c2ccc(F)cc2)cc1)C1CC1,3.2394,0.69688253392,2.274320348532408,[4-[[cyclopropyl(dimethylcarbamoyl)amino]methyl]phenyl] 4-fluorobenzenesulfonate,[C][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch2][Ring1][S][C][C][=C][C][=C][Branch2][Ring1][Ring2][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][Ring1][P][C][C][C][Ring1][Ring1],392.4520000000001,3.2394000000000025,66.92,0,4,6
COc1ccc(-c2nnc(S[C@H]3CCOC3=O)n2-c2ccccc2)cc1,3.3505,0.632479233156,2.6520627223263378,"(3S)-3-[[5-(4-methoxyphenyl)-4-phenyl-1,2,4-triazol-3-yl]sulfanyl]oxolan-2-one",[C][O][C][=C][C][=C][Branch2][Ring1][O][C][=N][N][=C][Branch1][#Branch2][S][C@H1][C][C][O][C][Ring1][Branch1][=O][N][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Branch2],367.43,3.350500000000002,66.24000000000001,0,7,5
CC(C)n1nc(CC(=O)Nc2cccc3c2ccn3C(C)C)c2ccccc2c1=O,4.6942,0.502968186474,2.4934976591118168,2-(4-oxo-3-propan-2-ylphthalazin-1-yl)-N-(1-propan-2-ylindol-4-yl)acetamide,[C][C][Branch1][C][C][N][N][=C][Branch2][Ring1][=Branch2][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][N][Ring1][Branch1][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][#Branch2][=O],402.49800000000016,4.694200000000004,68.92,1,5,5
CC(C)(C)Oc1cccc(-c2cc(=O)n3nccc3[nH]2)c1,2.8669,0.780426187594,2.775157049376107,"5-[3-[(2-methylpropan-2-yl)oxy]phenyl]-1H-pyrazolo[1,5-a]pyrimidin-7-one",[C][C][Branch1][C][C][Branch1][C][C][O][C][=C][C][=C][C][Branch1][P][C][=C][C][=Branch1][C][=O][N][N][=C][C][=C][Ring1][Branch1][NH1][Ring1][#Branch2][=C][Ring1][S],283.33099999999996,2.866900000000001,59.39,1,4,2
