epoch,train_loss,validation_loss
1,2.457681045550963,
2,2.132289721595749,
3,2.079179478534781,2.0331236556567975
4,2.0530220164765542,
5,2.0373826275171605,
6,2.0213143188499045,1.9826353851672822
7,2.0068096023177353,
8,1.9889303975114654,
9,1.977363217790375,1.9305328848087682
10,1.9659779568318065,
11,1.954532950004098,
12,1.9449109291046682,1.8938982254635972
13,1.9320410342488168,
14,1.927197199439253,
15,1.9165870311920676,1.8718769666367927
16,1.9095437941242062,
17,1.9061857892862706,
18,1.9007057330931567,1.8597895160185551
19,1.895966597999243,
20,1.8890894129140439,
21,1.881518652724845,1.8405351723189902
22,1.8777272331222803,
23,1.8746378473308092,
24,1.8670806655246757,1.8307035148671242
25,1.867641952745104,
26,1.8643446275433764,
27,1.86174560178708,1.825869300724131
28,1.8580084139799558,
29,1.850848738477366,
30,1.8440917397763266,1.8058066631840393
